Year,S&P 500,TBills,Treasuries,Corporates
1959,0.1015073922423877,0.016275746640702415,-0.04302297215021422,-0.0015310798917697044
1960,-0.010102596979616685,0.015023532168764175,0.10140991445944691,0.05231470908998137
1961,0.25793462712533866,0.016718065044924124,0.013805156151329268,0.04399334307727121
1962,-0.10011306760688599,0.014210559677978907,0.04302842957996611,0.05094077134943231
1963,0.20627911586808634,0.014899213345094475,0.0003878417511284926,0.03757932354577531
1964,0.15296080818588997,0.025510294866892602,0.02730683504216702,0.04150572608005687
1965,0.10278498724603002,0.019878585563413598,-0.011815036460901651,0.012430250952520927
1966,-0.12981044334842384,0.013564584736464047,-0.005327505855163173,-0.06673632636327886
1967,0.20150965889815775,0.012297774578573284,-0.044838441033759446,-0.020810302622317534
1968,0.05820394022676845,0.005906939944603895,-0.013800072736255053,0.0011973501878703718
1969,-0.13595983505822917,0.004420895796542368,-0.10556993435223616,-0.0774252597930769
1970,-0.019031349582383283,0.0077803770991502486,0.10594313213890327,0.000750946663013563
1971,0.10608317636955311,0.010324468778933005,0.06314320088369851,0.10395582155597016
1972,0.14843417143877868,0.0064422555176264495,-0.0056851543764778745,0.07739142835249746
1973,-0.21170821152937158,-0.015401313464675104,-0.04643001277929948,-0.04036432541245838
1974,-0.34039738544399956,-0.040125991586436816,-0.09212450487897073,-0.1488225747066404
1975,0.2810896148027431,-0.010860846099018606,-0.031150906280541624,0.038467194564255625
1976,0.1808626741322752,0.0010423574366729138,0.10603838829241008,0.1419727636798258
1977,-0.12821557651257187,-0.013419395607833784,-0.050712438229443046,0.030492984482817453
1978,-0.023009344888349492,-0.01678054571744969,-0.08985045357080856,-0.05393733754663266
1979,0.046123827695606634,-0.02846377602662009,-0.111420078492527,-0.13507386311802316
1980,0.17081032265336682,-0.009617569484006605,-0.1378115371017301,-0.14070830926000089
1981,-0.12508680722209453,0.04684657952692173,-0.00663908369326216,-0.004222829170326348
1982,0.1597736553214577,0.06534133090962291,0.2791564876158912,0.24292320783764132
1983,0.17868774202662507,0.04643807519047738,-0.00569192578061295,0.11950277011353361
1984,0.02113997225396158,0.053620984280029704,0.09413005807676367,0.11227211788716684
1985,0.26432399842665566,0.03545803300434058,0.21111848747779138,0.1932970032266932
1986,0.17207754817900445,0.048274329470081145,0.22934517078759908,0.2016621048484637
1987,0.013198062839471447,0.012836863412521327,-0.0899598201121895,-0.020534844084629023
1988,0.11604914078756723,0.021529426377720595,0.03643178833785976,0.10242980751490594
1989,0.25636479525221123,0.03310517009675995,0.12466969677618267,0.10647543253803327
1990,-0.08642950578884989,0.013072492926744506,0.0012168493503901257,0.0003185757945072254
1991,0.2636273511528897,0.022420182821827117,0.11585226248625902,0.14349498339059052
1992,0.04463604430467716,0.005160479225997827,0.06278859575919049,0.09010250051769986
1993,0.07025550545448711,0.0024242710909105902,0.11155936709155023,0.1331709874591842
1994,-0.013138355357956155,0.015308187947265406,-0.10432496696854432,-0.03890048441801319
1995,0.33798835872924404,0.028785213267886745,0.20423927104524942,0.17181667016916125
1996,0.18735986610915445,0.016292227338458476,-0.018329720759685197,0.014228456570546388
1997,0.3087562643915296,0.03302216401317315,0.08098855359340118,0.0996287918911094
1998,0.2630208989148277,0.031145630252624734,0.13098398831835856,0.062330850350274636
1999,0.17724953967845303,0.01902694361580126,-0.10652794145749434,-0.017932555045449883
2000,-0.12011811714907628,0.023502578971791976,0.12833800680567942,0.05748195075403917
2001,-0.13196703258202003,0.01808549705837903,0.039590281575233366,0.061716638125753454
2002,-0.23777781491854666,-0.007564303318004062,0.12443714484163748,0.09573406438986565
2003,0.25987870620485265,-0.008526315420961272,-0.014764222041378727,0.1143755440556049
2004,0.07251150392381955,-0.018244957785647054,0.011961813022703494,0.06423933402445203
2005,0.013719561653127155,-0.0026010889775621715,-0.005300232481444733,0.014522732699956187
2006,0.12748025275162322,0.021318537250023972,-0.005652867991797872,0.04396059185200363
2007,0.013484320919813664,0.00261395093789063,0.05888333155439773,-0.008943817145913413
2008,-0.3661028864694602,0.01272426874593946,0.19991595609430446,-0.05152414806374361
2009,0.22598912881739341,-0.025032094113267456,-0.13471423426136686,0.20062213458160927
2010,0.13128999211710024,-0.013390252646449774,0.06864539588817897,0.0675114415258753
2011,-0.008391850797329181,-0.028261961985741824,0.12696782961648867,0.09345248879515733
2012,0.1390743403371646,-0.01626862662342743,0.012094944379552386,0.08240194442559656
2013,0.30189970987813086,-0.014220511556419346,-0.10449386182293308,-0.025198003570672478
2014,0.12672068716826312,-0.007185542092623565,0.09914686837547393,0.09556126679314136
2015,0.006446686544000491,-0.006721167737123945,0.005507617538326626,-0.014167032344671537
2016,0.09501344090037445,-0.01721407339062353,-0.013559389494912866,0.08121985486493322
2017,0.1909370002599109,-0.011539097861489767,0.006783297536114619,0.07457536534702713
2018,-0.060219994641246166,0.0002846297824150579,-0.018907362972577002,-0.04585203498568957
2019,0.2828030819026066,-0.007187066194274561,0.07186284791883635,0.12752907057329366
2020,0.16437313967454337,-0.012549178928081717,0.09835921413371862,0.08927927886504361
2021,0.2006434743174219,-0.06485981308411226,-0.10669191073462136,-0.05669677970105125
